1,Abra,Abra
2,Agusan Del Norte,Agusan Del Norte
3,Agusan Del Sur,Agusan Del Sur
4,Aklan,Aklan
5,Albay,Albay
6,Antique,Antique
7,Apayao,Apayao
8,Aurora,Aurora
9,Basilan,Basilan
10,Bataan,Bataan
11,Batanes,Batanes
12,Batangas,Batangas
13,Benquet,Benquet
14,Biliran,Biliran
15,Bohol,Bohol
16,Bukidnon,Bukidnon
17,Bulacan,Bulacan
18,Cagayan,Cagayan
19,Camarines Norte,Camarines Norte
20,Camarines Sur,Camarines Sur
21,Camiguin,Camiguin
22,Capiz,Capiz
23,Catanduanes,Catanduanes
24,Cavite,Cavite
25,Cebu,Cebu
26,Compostela Valley,Compostela Valley
27,Cotabato,Cotabato
28,Davao Del Norte,Davao Del Norte
29,Davao Del Sur,Davao Del Sur
30,Davao Occidental,Davao Occidental
31,Davao Oriental,Davao Oriental
32,Dinagat Islands,Dinagat Islands
33,Eastern Samar,Eastern Samar
34,Guimaras,Guimaras
35,Ifugao,Ifugao
36,Ilocos Norte,Ilocos Norte
37,Ilocos Sur,Ilocos Sur
38,Iloilo,Iloilo
39,Isabela,Isabela
40,Kalinga,Kalinga
41,La Union,La Union
42,Laguna,Laguna
43,Lanao Del Norte,Lanao Del Norte
44,Lanao Del Sur,Lanao Del Sur
45,Leyte,Leyte
46,Maguindanao,Maguindanao
47,Marinduque,Marinduque
48,Masbate,Masbate
49,Misamis Occidental,Misamis Occidental
50,Misamis Oriental,Misamis Oriental
51,Mountain Province,Mountain Province
52,National Capital Region,National Capital Region
53,Negros Occidental,Negros Occidental
54,Negros Oriental,Negros Oriental
55,Northern Samar,Northern Samar
56,Nueva Ecija,Nueva Ecija
57,Nueva Vizcaya,Nueva Vizcaya
58,Occidental Mindoro,Occidental Mindoro
59,Oriental Mindoro,Oriental Mindoro
60,Palawan,Palawan
61,Pampanga,Pampanga
62,Pangasinan,Pangasinan
63,Quezon,Quezon
64,Quirino,Quirino
65,Rizal,Rizal
66,Romblon,Romblon
67,Samar,Samar
68,Sarangani,Sarangani
69,Siquijor,Siquijor
70,Sorsogon,Sorsogon
71,South Cotabato,South Cotabato
72,Southern Leyte,Southern Leyte
73,Sultan Kudarat,Sultan Kudarat
74,Sulu,Sulu
75,Surigao Del Norte,Surigao Del Norte
76,Surigao Del Sur,Surigao Del Sur
77,Tarlac,Tarlac
78,Tawi-Tawi,Tawi-Tawi
79,Zambales,Zambales
80,Zamboanga Del Norte,Zamboanga Del Norte
81,Zamboanga Del Sur,Zamboanga Del Sur
82,Zamboanga Sibugay,Zamboanga Sibugay
